策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.15-0.70_卖Q0.85-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,4.09,7.05,-0.96,2026-06-16,2026-06-30,0.681,4.234,0.61,1.51,1070608.49,48,16,32,35,0,100.0,3.59,0,0,0.0,48,16,32,3.63,3.42,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.05,6.99,-1.18,2026-06-12,2026-06-30,0.605,3.431,0.554,1.64,1069931.96,56,19,37,42,0,100.0,3.01,0,0,0.0,56,19,37,3.63,3.36,2.35
买Q0.15-0.70_卖Q0.75-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.05,6.99,-1.16,2026-06-16,2026-06-30,0.607,3.491,0.546,1.63,1069917.7,56,19,37,42,0,100.0,3.03,0,0,0.0,56,19,37,3.63,3.36,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,4.05,6.99,-0.97,2026-06-16,2026-06-30,0.658,4.196,0.597,1.51,1069999.11,48,16,32,35,0,100.0,3.55,0,0,0.0,48,16,32,3.63,3.36,2.35
买Q0.05-0.70_卖Q0.75-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.05,6.99,-1.18,2026-06-12,2026-06-30,0.605,3.431,0.554,1.64,1069931.96,56,19,37,42,0,100.0,3.01,0,0,0.0,56,19,37,3.63,3.36,2.35
买Q0.05-0.70_卖Q0.75-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.05,6.99,-1.16,2026-06-16,2026-06-30,0.607,3.491,0.546,1.63,1069917.7,56,19,37,42,0,100.0,3.03,0,0,0.0,56,19,37,3.63,3.36,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.04,6.98,-1.34,2026-06-16,2026-06-30,0.59,3.022,0.502,1.68,1069882.74,51,17,34,38,0,100.0,3.27,0,0,0.0,51,17,34,3.63,3.35,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买3卖_基80000_增10000,广发约定净值转换,429,4.02,6.95,-0.97,2026-06-16,2026-06-30,0.644,4.155,0.596,1.5,1069520.49,53,18,35,39,0,100.0,3.2,0,0,0.0,53,18,35,3.63,3.32,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买3卖_基80000_增10000,广发约定净值转换,429,4.02,6.95,-0.97,2026-06-16,2026-06-30,0.644,4.155,0.596,1.5,1069520.49,53,18,35,39,0,100.0,3.2,0,0,0.0,53,18,35,3.63,3.32,2.35
买Q0.15-0.70_卖Q0.75-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.01,6.92,-1.16,2026-06-16,2026-06-30,0.586,3.458,0.524,1.63,1069247.01,56,19,37,42,0,100.0,2.96,0,0,0.0,56,19,37,3.63,3.29,2.35
